ID,Statistical Division or Subdivision,LGA,Offence category,Subcategory,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
2599,Central Coast,Gosford,Against justice procedures,Breach bail conditions,92,124,168,132,170,147,187,419,1047,762,530
2600,Central Coast,Gosford,Against justice procedures,Fail to appear,50,61,4,5,16,5,4,14,42,30,15
2601,Central Coast,Gosford,Against justice procedures,Resist or hinder officer,195,155,107,152,141,119,167,169,115,124,118
2602,Central Coast,Gosford,Against justice procedures,Other offences against justice procedures,49,25,24,9,13,8,9,18,32,46,26
2603,Central Coast,Gosford,Transport regulatory offences,,2416,1045,900,903,558,488,978,1686,2117,1581,2048
2604,Central Coast,Gosford,Other offences,,355,378,285,333,403,315,305,339,331,260,272
2605,Central Coast,Wyong,Homicide,Murder (a),4,1,0,3,2,4,0,1,3,3,1
2606,Central Coast,Wyong,Homicide,Attempted murder,0,1,0,1,2,1,0,3,0,0,0
2607,Central Coast,Wyong,Homicide,"Murder accessory, conspiracy",0,0,0,4,0,0,0,1,0,0,0
2608,Central Coast,Wyong,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
2609,Central Coast,Wyong,Assault,Domestic violence related assault,696,747,726,732,754,811,770,755,706,713,728
2610,Central Coast,Wyong,Assault,Non-domestic violence related assault,868,841,965,969,992,1051,925,950,987,891,822
2611,Central Coast,Wyong,Assault,Assault Police,65,43,50,67,52,52,70,84,44,50,30
2612,Central Coast,Wyong,Sexual offences,Sexual assault,69,94,121,103,110,100,120,145,177,147,144
2613,Central Coast,Wyong,Sexual offences,"Indecent assault, act of indecency and other sexual offences",105,124,149,160,163,95,120,144,154,167,165
2614,Central Coast,Wyong,Abduction and kidnapping,,5,8,12,6,9,7,7,7,5,9,16
2615,Central Coast,Wyong,Robbery,Robbery without a weapon,38,35,28,41,32,41,43,44,54,36,47
2616,Central Coast,Wyong,Robbery,Robbery with a firearm,9,11,11,16,5,1,4,5,3,7,8
2617,Central Coast,Wyong,Robbery,Robbery with a weapon not a firearm,25,26,24,29,19,12,13,11,11,20,14
2618,Central Coast,Wyong,Blackmail and extortion,,0,0,1,0,2,0,3,0,0,0,0
2619,Central Coast,Wyong,"Harassment, threatening behaviour and private nuisance",,249,350,630,701,701,735,775,780,674,762,769
2620,Central Coast,Wyong,Other offences against the person,,15,38,56,63,41,30,41,41,38,31,22
2621,Central Coast,Wyong,Theft,Break and enter dwelling,1470,1035,1076,1226,969,963,1071,846,752,980,1048
2622,Central Coast,Wyong,Theft,Break and enter non-dwelling,876,714,656,584,656,433,450,390,526,413,335
2623,Central Coast,Wyong,Theft,Receiving or handling stolen goods,161,156,117,113,94,98,92,80,113,105,96
2624,Central Coast,Wyong,Theft,Motor vehicle theft,777,801,762,777,616,544,592,522,524,538,562
2625,Central Coast,Wyong,Theft,Steal from motor vehicle,1110,1044,1067,1051,1060,1122,1607,1123,1194,1398,1162
2626,Central Coast,Wyong,Theft,Steal from retail store,573,460,351,332,345,416,425,469,453,463,469
2627,Central Coast,Wyong,Theft,Steal from dwelling,705,659,575,585,640,507,537,495,476,494,426
2628,Central Coast,Wyong,Theft,Steal from person,162,142,148,137,106,96,97,112,128,136,116
2629,Central Coast,Wyong,Theft,Stock theft,1,1,5,2,4,3,1,4,5,5,2
2630,Central Coast,Wyong,Theft,Fraud,667,540,469,468,689,469,642,416,599,656,787
2631,Central Coast,Wyong,Theft,Other theft,985,897,798,718,756,668,619,659,688,666,642
2632,Central Coast,Wyong,Arson,,110,90,98,151,188,228,188,151,143,175,229
2633,Central Coast,Wyong,Malicious damage to property,,2886,2959,2979,2666,2678,3056,3079,2688,2612,2336,2387
2634,Central Coast,Wyong,Drug offences,Possession and/or use of cocaine,1,1,0,0,0,1,3,3,1,1,3
2635,Central Coast,Wyong,Drug offences,Possession and/or use of narcotics,7,3,5,6,2,1,6,2,5,5,8
2636,Central Coast,Wyong,Drug offences,Possession and/or use of cannabis,175,190,166,140,127,160,153,185,231,270,245
2637,Central Coast,Wyong,Drug offences,Possession and/or use of amphetamines,30,34,33,26,30,39,21,27,34,54,41
2638,Central Coast,Wyong,Drug offences,Possession and/or use of ecstasy,5,0,8,8,12,20,21,16,6,5,5
2639,Central Coast,Wyong,Drug offences,Possession and/or use of other drugs,8,3,9,8,2,4,8,13,15,17,16
2640,Central Coast,Wyong,Drug offences,"Dealing, trafficking in cocaine",0,0,0,1,0,0,0,1,0,0,1
2641,Central Coast,Wyong,Drug offences,"Dealing, trafficking in narcotics",2,1,0,0,0,1,0,3,0,0,0
2642,Central Coast,Wyong,Drug offences,"Dealing, trafficking in cannabis",5,21,5,12,7,6,5,5,14,14,160
2643,Central Coast,Wyong,Drug offences,"Dealing, trafficking in amphetamines",41,31,13,29,41,10,15,16,14,33,10
2644,Central Coast,Wyong,Drug offences,"Dealing, trafficking in ecstasy",5,0,4,38,22,46,8,12,3,1,3
2645,Central Coast,Wyong,Drug offences,"Dealing, trafficking in other drugs",2,1,0,4,1,0,0,0,1,1,0
2646,Central Coast,Wyong,Drug offences,Cultivating cannabis,27,38,26,30,26,28,24,30,36,32,23
2647,Central Coast,Wyong,Drug offences,Manufacture drug,2,2,0,3,4,0,3,0,0,9,0
2648,Central Coast,Wyong,Drug offences,Importing drugs,0,0,0,1,0,0,0,0,1,1,1
2649,Central Coast,Wyong,Drug offences,Other drug offences,40,33,32,44,34,24,26,41,39,24,32
2650,Central Coast,Wyong,Prohibited and regulated weapons offences,,130,135,136,168,107,131,131,114,112,116,101
2651,Central Coast,Wyong,Disorderly conduct,Trespass,178,154,187,195,167,186,204,195,147,121,118
2652,Central Coast,Wyong,Disorderly conduct,Offensive conduct,42,58,96,90,89,140,139,137,117,99,41
2653,Central Coast,Wyong,Disorderly conduct,Offensive language,81,90,95,130,118,127,182,160,111,101,67
2654,Central Coast,Wyong,Disorderly conduct,Criminal intent,37,40,31,24,22,22,29,16,18,30,33
2655,Central Coast,Wyong,Betting and gaming offences,,0,1,0,1,7,1,1,0,1,0,0
2656,Central Coast,Wyong,Liquor offences,,149,160,171,209,301,295,325,189,183,101,67
2657,Central Coast,Wyong,Pornography offences,,0,2,5,6,4,3,5,5,3,7,12
2658,Central Coast,Wyong,Prostitution offences,,0,1,0,0,2,0,0,2,0,0,0
2659,Central Coast,Wyong,Against justice procedures,Escape custody,5,2,4,3,4,4,5,5,1,5,0
2660,Central Coast,Wyong,Against justice procedures,Breach Apprehended Violence Order,315,308,347,337,314,348,281,337,329,410,362
2661,Central Coast,Wyong,Against justice procedures,Breach bail conditions,99,128,159,121,112,168,185,177,177,237,231
2662,Central Coast,Wyong,Against justice procedures,Fail to appear,72,56,10,3,8,3,0,5,9,12,16
2663,Central Coast,Wyong,Against justice procedures,Resist or hinder officer,144,112,141,180,157,167,235,228,136,112,92
2664,Central Coast,Wyong,Against justice procedures,Other offences against justice procedures,61,28,11,7,6,4,0,6,2,2,7
2665,Central Coast,Wyong,Transport regulatory offences,,1195,544,500,427,261,164,312,723,1175,881,657
2666,Central Coast,Wyong,Other offences,,189,221,261,380,342,362,273,243,187,172,225
2667,Hunter,Cessnock,Homicide,Murder (a),0,0,0,0,0,0,0,1,0,1,1
2668,Hunter,Cessnock,Homicide,Attempted murder,3,0,0,1,1,2,1,0,0,2,1
2669,Hunter,Cessnock,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
2670,Hunter,Cessnock,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
2671,Hunter,Cessnock,Assault,Domestic violence related assault,205,221,200,318,306,269,246,264,256,285,295
2672,Hunter,Cessnock,Assault,Non-domestic violence related assault,276,248,260,316,278,329,339,275,338,280,271
2673,Hunter,Cessnock,Assault,Assault Police,11,29,16,16,16,21,18,11,25,16,16
2674,Hunter,Cessnock,Sexual offences,Sexual assault,43,35,30,33,37,45,59,48,59,59,38
2675,Hunter,Cessnock,Sexual offences,"Indecent assault, act of indecency and other sexual offences",62,33,36,39,42,34,44,41,47,59,63
2676,Hunter,Cessnock,Abduction and kidnapping,,10,2,4,2,3,3,5,3,6,4,1
2677,Hunter,Cessnock,Robbery,Robbery without a weapon,14,7,4,8,9,9,10,4,11,10,9
2678,Hunter,Cessnock,Robbery,Robbery with a firearm,2,3,1,3,2,0,1,0,1,2,6
2679,Hunter,Cessnock,Robbery,Robbery with a weapon not a firearm,8,8,4,4,5,9,2,2,4,10,19
2680,Hunter,Cessnock,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0
2681,Hunter,Cessnock,"Harassment, threatening behaviour and private nuisance",,68,70,103,186,209,229,228,263,318,350,328
2682,Hunter,Cessnock,Other offences against the person,,9,4,13,11,15,19,18,4,12,13,9
2683,Hunter,Cessnock,Theft,Break and enter dwelling,635,420,400,451,311,339,336,292,260,357,397
2684,Hunter,Cessnock,Theft,Break and enter non-dwelling,433,426,321,220,283,316,319,279,275,307,275
2685,Hunter,Cessnock,Theft,Receiving or handling stolen goods,62,39,27,44,31,35,36,41,29,49,56
2686,Hunter,Cessnock,Theft,Motor vehicle theft,514,588,380,404,304,227,295,316,204,284,319
2687,Hunter,Cessnock,Theft,Steal from motor vehicle,458,362,298,344,364,283,344,271,278,434,523
2688,Hunter,Cessnock,Theft,Steal from retail store,88,93,97,85,68,88,92,81,95,91,110
2689,Hunter,Cessnock,Theft,Steal from dwelling,340,315,247,305,270,255,248,213,221,253,227
2690,Hunter,Cessnock,Theft,Steal from person,28,27,29,32,19,28,33,21,23,24,30
2691,Hunter,Cessnock,Theft,Stock theft,9,4,9,5,7,4,4,6,3,4,4
2692,Hunter,Cessnock,Theft,Fraud,99,86,100,128,160,159,233,121,165,172,281
2693,Hunter,Cessnock,Theft,Other theft,359,280,326,319,348,346,340,238,271,340,314
2694,Hunter,Cessnock,Arson,,182,107,117,103,125,118,153,183,166,198,191
2695,Hunter,Cessnock,Malicious damage to property,,713,772,713,879,883,860,912,917,800,806,776
2696,Hunter,Cessnock,Drug offences,Possession and/or use of cocaine,0,1,1,0,1,2,1,0,0,3,2
2697,Hunter,Cessnock,Drug offences,Possession and/or use of narcotics,14,0,2,1,0,0,5,6,1,10,1
2698,Hunter,Cessnock,Drug offences,Possession and/or use of cannabis,98,85,62,71,91,79,73,83,124,148,159
2699,Hunter,Cessnock,Drug offences,Possession and/or use of amphetamines,39,29,6,11,33,34,36,31,34,38,54
2700,Hunter,Cessnock,Drug offences,Possession and/or use of ecstasy,1,0,0,1,3,4,1,7,0,0,0
2701,Hunter,Cessnock,Drug offences,Possession and/or use of other drugs,5,4,1,2,3,2,3,7,9,3,17
2702,Hunter,Cessnock,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,0
2703,Hunter,Cessnock,Drug offences,"Dealing, trafficking in narcotics",0,12,0,0,0,0,0,0,0,1,0
2704,Hunter,Cessnock,Drug offences,"Dealing, trafficking in cannabis",0,2,1,6,2,1,8,4,6,11,0
2705,Hunter,Cessnock,Drug offences,"Dealing, trafficking in amphetamines",6,10,3,8,3,6,102,5,12,0,7
2706,Hunter,Cessnock,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,1,2,1,0,0,0
2707,Hunter,Cessnock,Drug offences,"Dealing, trafficking in other drugs",1,0,0,0,0,1,1,0,0,1,0
2708,Hunter,Cessnock,Drug offences,Cultivating cannabis,14,16,16,21,13,19,19,19,40,35,21
2709,Hunter,Cessnock,Drug offences,Manufacture drug,1,5,0,1,0,0,0,0,0,3,1
2710,Hunter,Cessnock,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0
2711,Hunter,Cessnock,Drug offences,Other drug offences,15,16,16,17,25,18,9,9,20,21,28
2712,Hunter,Cessnock,Prohibited and regulated weapons offences,,73,55,26,44,64,101,68,47,57,73,86
2713,Hunter,Cessnock,Disorderly conduct,Trespass,48,33,22,56,68,53,49,40,52,56,64
2714,Hunter,Cessnock,Disorderly conduct,Offensive conduct,25,21,24,21,19,25,24,34,37,29,23
2715,Hunter,Cessnock,Disorderly conduct,Offensive language,40,37,30,19,16,15,20,20,28,46,32
2716,Hunter,Cessnock,Disorderly conduct,Criminal intent,17,9,13,13,8,15,15,17,7,7,12
2717,Hunter,Cessnock,Betting and gaming offences,,0,0,0,0,1,3,0,2,6,0,0
2718,Hunter,Cessnock,Liquor offences,,40,27,33,50,28,52,61,69,80,57,42
2719,Hunter,Cessnock,Pornography offences,,0,3,0,0,3,2,0,0,2,2,5
2720,Hunter,Cessnock,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0
2721,Hunter,Cessnock,Against justice procedures,Escape custody,1,1,1,0,3,1,0,0,0,3,0
2722,Hunter,Cessnock,Against justice procedures,Breach Apprehended Violence Order,104,133,152,187,206,171,145,147,161,133,157
2723,Hunter,Cessnock,Against justice procedures,Breach bail conditions,45,40,36,61,70,83,78,68,109,150,175
2724,Hunter,Cessnock,Against justice procedures,Fail to appear,5,0,0,2,1,1,0,3,0,4,2
2725,Hunter,Cessnock,Against justice procedures,Resist or hinder officer,27,43,37,35,49,55,65,43,44,56,53
2726,Hunter,Cessnock,Against justice procedures,Other offences against justice procedures,6,6,2,1,0,3,2,4,3,5,1
2727,Hunter,Cessnock,Transport regulatory offences,,4,4,4,1,3,0,7,9,24,1,2
2728,Hunter,Cessnock,Other offences,,111,85,90,90,74,71,52,68,56,65,68
2729,Hunter,Dungog,Homicide,Murder (a),0,1,3,0,0,0,0,0,0,1,0
2730,Hunter,Dungog,Homicide,Attempted murder,0,1,0,0,0,0,0,0,0,0,0
2731,Hunter,Dungog,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
2732,Hunter,Dungog,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
2733,Hunter,Dungog,Assault,Domestic violence related assault,31,21,17,28,34,37,16,22,12,12,28
2734,Hunter,Dungog,Assault,Non-domestic violence related assault,21,27,21,17,28,18,34,15,20,17,19
2735,Hunter,Dungog,Assault,Assault Police,2,0,0,1,3,0,1,0,0,1,0
2736,Hunter,Dungog,Sexual offences,Sexual assault,4,12,11,7,3,5,5,4,7,2,8
2737,Hunter,Dungog,Sexual offences,"Indecent assault, act of indecency and other sexual offences",10,7,4,8,2,6,4,7,6,5,5
2738,Hunter,Dungog,Abduction and kidnapping,,1,0,0,0,0,0,0,0,0,0,1
2739,Hunter,Dungog,Robbery,Robbery without a weapon,0,1,0,0,0,0,0,0,0,0,0
2740,Hunter,Dungog,Robbery,Robbery with a firearm,0,0,1,0,0,0,0,0,0,0,0
2741,Hunter,Dungog,Robbery,Robbery with a weapon not a firearm,0,0,0,0,0,0,0,0,0,0,1
2742,Hunter,Dungog,Blackmail and extortion,,0,1,0,0,0,0,0,0,0,0,0
2743,Hunter,Dungog,"Harassment, threatening behaviour and private nuisance",,7,13,5,12,16,24,20,18,25,36,52
2744,Hunter,Dungog,Other offences against the person,,0,0,2,0,1,1,1,1,0,3,1
2745,Hunter,Dungog,Theft,Break and enter dwelling,28,35,18,27,34,27,31,26,27,24,29
2746,Hunter,Dungog,Theft,Break and enter non-dwelling,48,16,22,32,32,28,24,49,32,43,45
2747,Hunter,Dungog,Theft,Receiving or handling stolen goods,2,0,3,2,2,0,0,0,1,0,2
2748,Hunter,Dungog,Theft,Motor vehicle theft,6,9,12,8,16,8,12,20,16,11,17
2749,Hunter,Dungog,Theft,Steal from motor vehicle,12,8,26,9,20,29,21,40,31,16,18
2750,Hunter,Dungog,Theft,Steal from retail store,2,1,0,2,3,2,1,0,4,2,1
2751,Hunter,Dungog,Theft,Steal from dwelling,18,26,24,27,22,19,16,31,22,34,19
2752,Hunter,Dungog,Theft,Steal from person,1,2,1,0,0,0,1,2,4,2,2
2753,Hunter,Dungog,Theft,Stock theft,5,11,2,0,0,0,0,3,0,4,2
2754,Hunter,Dungog,Theft,Fraud,10,8,9,4,11,13,9,8,8,13,9
2755,Hunter,Dungog,Theft,Other theft,24,21,13,20,26,23,19,37,35,26,34
2756,Hunter,Dungog,Arson,,4,0,2,3,12,9,6,15,16,17,9
2757,Hunter,Dungog,Malicious damage to property,,48,36,27,48,42,97,67,94,78,109,70
2758,Hunter,Dungog,Drug offences,Possession and/or use of cocaine,0,0,0,0,0,0,0,0,0,0,1
2759,Hunter,Dungog,Drug offences,Possession and/or use of narcotics,0,0,0,0,0,0,0,0,0,0,0
2760,Hunter,Dungog,Drug offences,Possession and/or use of cannabis,14,8,5,4,2,5,3,6,12,9,27
2761,Hunter,Dungog,Drug offences,Possession and/or use of amphetamines,0,0,1,0,0,0,0,1,2,1,2
2762,Hunter,Dungog,Drug offences,Possession and/or use of ecstasy,0,0,0,0,0,0,0,0,0,0,5
2763,Hunter,Dungog,Drug offences,Possession and/or use of other drugs,0,0,0,0,0,0,0,0,0,0,3
2764,Hunter,Dungog,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,0
2765,Hunter,Dungog,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,0,0
2766,Hunter,Dungog,Drug offences,"Dealing, trafficking in cannabis",2,0,1,0,0,0,0,0,0,48,0
2767,Hunter,Dungog,Drug offences,"Dealing, trafficking in amphetamines",0,0,0,0,0,0,0,0,0,0,0
2768,Hunter,Dungog,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,0,0,0,0,0,0
2769,Hunter,Dungog,Drug offences,"Dealing, trafficking in other drugs",0,0,0,0,0,0,0,0,0,0,0
2770,Hunter,Dungog,Drug offences,Cultivating cannabis,4,2,4,5,1,3,4,4,4,6,2
2771,Hunter,Dungog,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,1,0,0
2772,Hunter,Dungog,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0
2773,Hunter,Dungog,Drug offences,Other drug offences,2,1,0,2,0,0,0,0,1,0,1
2774,Hunter,Dungog,Prohibited and regulated weapons offences,,10,11,17,3,8,8,7,6,9,6,4
2775,Hunter,Dungog,Disorderly conduct,Trespass,5,4,3,3,5,8,7,5,6,5,5
2776,Hunter,Dungog,Disorderly conduct,Offensive conduct,1,2,2,2,1,3,2,0,0,3,6
2777,Hunter,Dungog,Disorderly conduct,Offensive language,1,0,2,2,1,2,3,0,2,4,2
2778,Hunter,Dungog,Disorderly conduct,Criminal intent,1,0,0,0,1,1,0,0,0,1,1
2779,Hunter,Dungog,Betting and gaming offences,,0,0,0,0,0,0,0,0,0,0,0
2780,Hunter,Dungog,Liquor offences,,1,1,3,4,0,3,2,9,4,4,6
2781,Hunter,Dungog,Pornography offences,,0,0,1,0,0,0,0,0,0,2,0
2782,Hunter,Dungog,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0
2783,Hunter,Dungog,Against justice procedures,Escape custody,0,0,0,0,0,0,0,0,0,0,0
2784,Hunter,Dungog,Against justice procedures,Breach Apprehended Violence Order,9,18,7,9,13,18,23,9,9,10,12
2785,Hunter,Dungog,Against justice procedures,Breach bail conditions,4,1,1,1,4,4,7,7,9,5,2
2786,Hunter,Dungog,Against justice procedures,Fail to appear,0,0,0,0,0,0,0,0,0,0,1
2787,Hunter,Dungog,Against justice procedures,Resist or hinder officer,1,0,2,0,2,0,4,0,2,2,2
2788,Hunter,Dungog,Against justice procedures,Other offences against justice procedures,0,0,0,0,0,0,0,0,0,0,0
2789,Hunter,Dungog,Transport regulatory offences,,1,6,4,5,4,7,9,49,44,5,3
2790,Hunter,Dungog,Other offences,,28,20,11,12,10,5,12,5,5,14,4
2791,Hunter,Gloucester,Homicide,Murder (a),0,0,0,0,0,0,0,0,0,0,0
2792,Hunter,Gloucester,Homicide,Attempted murder,0,0,0,0,0,0,0,0,0,0,0
2793,Hunter,Gloucester,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
2794,Hunter,Gloucester,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
2795,Hunter,Gloucester,Assault,Domestic violence related assault,11,15,18,17,18,17,28,14,18,12,12
2796,Hunter,Gloucester,Assault,Non-domestic violence related assault,18,10,10,13,17,22,25,28,26,11,15
2797,Hunter,Gloucester,Assault,Assault Police,2,1,1,0,1,2,1,1,1,0,0
2798,Hunter,Gloucester,Sexual offences,Sexual assault,2,3,4,4,7,4,6,3,4,1,1
2799,Hunter,Gloucester,Sexual offences,"Indecent assault, act of indecency and other sexual offences",2,0,6,5,1,3,5,4,8,1,6
2800,Hunter,Gloucester,Abduction and kidnapping,,0,0,0,0,0,0,0,0,0,0,1
2801,Hunter,Gloucester,Robbery,Robbery without a weapon,0,0,0,0,0,0,2,1,1,0,0
2802,Hunter,Gloucester,Robbery,Robbery with a firearm,2,0,0,0,0,0,1,0,0,0,0
2803,Hunter,Gloucester,Robbery,Robbery with a weapon not a firearm,0,0,0,0,0,0,0,0,0,0,0
2804,Hunter,Gloucester,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0
2805,Hunter,Gloucester,"Harassment, threatening behaviour and private nuisance",,5,1,6,3,6,12,25,21,22,15,12
2806,Hunter,Gloucester,Other offences against the person,,0,1,1,0,0,2,1,1,2,2,2
2807,Hunter,Gloucester,Theft,Break and enter dwelling,8,18,14,11,6,7,16,8,23,11,15
2808,Hunter,Gloucester,Theft,Break and enter non-dwelling,19,10,16,6,13,18,11,26,7,25,7
2809,Hunter,Gloucester,Theft,Receiving or handling stolen goods,0,2,0,1,0,1,0,0,0,1,3
2810,Hunter,Gloucester,Theft,Motor vehicle theft,6,11,4,6,4,4,6,7,3,8,4
2811,Hunter,Gloucester,Theft,Steal from motor vehicle,6,18,10,6,6,9,15,11,6,13,9
2812,Hunter,Gloucester,Theft,Steal from retail store,3,3,1,2,1,2,1,2,0,1,0
2813,Hunter,Gloucester,Theft,Steal from dwelling,16,23,12,15,23,18,13,15,6,12,7
2814,Hunter,Gloucester,Theft,Steal from person,0,0,1,1,0,1,1,0,2,2,0
2815,Hunter,Gloucester,Theft,Stock theft,3,1,3,3,2,2,2,0,0,3,3
2816,Hunter,Gloucester,Theft,Fraud,1,2,3,7,3,5,8,4,8,9,9
2817,Hunter,Gloucester,Theft,Other theft,18,16,9,19,14,13,14,12,9,16,10
2818,Hunter,Gloucester,Arson,,2,1,2,0,0,4,2,3,0,1,4
2819,Hunter,Gloucester,Malicious damage to property,,54,44,38,77,78,55,46,60,46,35,34
2820,Hunter,Gloucester,Drug offences,Possession and/or use of cocaine,0,0,0,0,0,0,0,0,0,0,0
2821,Hunter,Gloucester,Drug offences,Possession and/or use of narcotics,0,0,0,0,0,0,0,1,0,0,0
2822,Hunter,Gloucester,Drug offences,Possession and/or use of cannabis,4,5,3,11,3,3,4,3,6,3,3
2823,Hunter,Gloucester,Drug offences,Possession and/or use of amphetamines,0,0,0,3,0,4,1,0,0,0,3
2824,Hunter,Gloucester,Drug offences,Possession and/or use of ecstasy,0,0,0,1,0,0,0,0,1,0,2
2825,Hunter,Gloucester,Drug offences,Possession and/or use of other drugs,0,0,0,0,0,0,0,1,0,0,0
2826,Hunter,Gloucester,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,0
2827,Hunter,Gloucester,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,0,0
2828,Hunter,Gloucester,Drug offences,"Dealing, trafficking in cannabis",0,0,0,0,0,0,0,0,0,0,7
2829,Hunter,Gloucester,Drug offences,"Dealing, trafficking in amphetamines",1,0,0,0,0,1,0,0,0,0,1
2830,Hunter,Gloucester,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,0,0,0,1,0,0
2831,Hunter,Gloucester,Drug offences,"Dealing, trafficking in other drugs",0,0,0,0,0,0,0,0,0,0,0
2832,Hunter,Gloucester,Drug offences,Cultivating cannabis,1,2,1,2,2,2,1,5,1,3,1
2833,Hunter,Gloucester,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,0,0,0
2834,Hunter,Gloucester,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0
2835,Hunter,Gloucester,Drug offences,Other drug offences,0,1,2,4,0,0,3,0,1,1,1
2836,Hunter,Gloucester,Prohibited and regulated weapons offences,,1,7,1,6,2,2,8,6,2,3,5
2837,Hunter,Gloucester,Disorderly conduct,Trespass,8,3,3,7,5,5,9,14,8,6,9
2838,Hunter,Gloucester,Disorderly conduct,Offensive conduct,7,6,1,3,4,9,17,18,15,12,5
2839,Hunter,Gloucester,Disorderly conduct,Offensive language,7,4,3,4,3,4,9,5,5,2,1
2840,Hunter,Gloucester,Disorderly conduct,Criminal intent,0,1,0,1,0,0,1,0,1,0,0
2841,Hunter,Gloucester,Betting and gaming offences,,0,0,0,2,0,0,0,0,0,0,0
2842,Hunter,Gloucester,Liquor offences,,8,0,3,8,19,10,13,25,5,3,4
2843,Hunter,Gloucester,Pornography offences,,0,0,0,0,0,0,0,0,2,0,0
2844,Hunter,Gloucester,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0
2845,Hunter,Gloucester,Against justice procedures,Escape custody,0,0,0,0,0,0,0,0,0,0,0
2846,Hunter,Gloucester,Against justice procedures,Breach Apprehended Violence Order,10,13,13,6,13,5,8,8,8,6,5
2847,Hunter,Gloucester,Against justice procedures,Breach bail conditions,0,0,4,6,7,6,0,5,4,7,5
2848,Hunter,Gloucester,Against justice procedures,Fail to appear,0,0,0,0,0,1,0,0,0,0,0
2849,Hunter,Gloucester,Against justice procedures,Resist or hinder officer,7,1,1,1,4,0,1,1,3,1,2
2850,Hunter,Gloucester,Against justice procedures,Other offences against justice procedures,2,0,0,0,0,0,0,0,0,0,1
2851,Hunter,Gloucester,Transport regulatory offences,,0,1,0,6,0,1,5,0,0,0,0
2852,Hunter,Gloucester,Other offences,,16,3,8,10,10,6,7,15,4,8,5
2853,Hunter,Great Lakes,Homicide,Murder (a),0,0,0,0,3,1,0,1,0,0,0
2854,Hunter,Great Lakes,Homicide,Attempted murder,1,0,0,0,0,1,1,0,0,0,0
2855,Hunter,Great Lakes,Homicide,"Murder accessory, conspiracy",0,0,0,1,0,0,0,0,0,0,0
2856,Hunter,Great Lakes,Homicide,Manslaughter (a),0,0,0,0,0,0,1,0,0,0,0
2857,Hunter,Great Lakes,Assault,Domestic violence related assault,138,144,152,135,173,186,212,181,210,195,213
2858,Hunter,Great Lakes,Assault,Non-domestic violence related assault,201,216,181,221,223,193,193,230,202,205,198
2859,Hunter,Great Lakes,Assault,Assault Police,30,12,14,16,25,32,26,16,31,12,13
2860,Hunter,Great Lakes,Sexual offences,Sexual assault,13,23,20,23,16,19,34,25,31,28,18
2861,Hunter,Great Lakes,Sexual offences,"Indecent assault, act of indecency and other sexual offences",47,38,35,28,34,22,32,23,32,37,42
2862,Hunter,Great Lakes,Abduction and kidnapping,,1,2,1,1,1,0,1,1,1,1,1
2863,Hunter,Great Lakes,Robbery,Robbery without a weapon,5,7,9,10,11,11,8,5,7,4,6
2864,Hunter,Great Lakes,Robbery,Robbery with a firearm,0,1,1,1,0,3,2,0,0,2,1
2865,Hunter,Great Lakes,Robbery,Robbery with a weapon not a firearm,3,4,1,2,4,3,10,2,1,7,6
2866,Hunter,Great Lakes,Blackmail and extortion,,0,0,1,0,0,0,0,0,0,0,0
2867,Hunter,Great Lakes,"Harassment, threatening behaviour and private nuisance",,86,56,88,80,117,126,163,143,147,142,206
2868,Hunter,Great Lakes,Other offences against the person,,8,10,6,10,11,14,11,4,12,8,10
2869,Hunter,Great Lakes,Theft,Break and enter dwelling,408,298,477,297,346,384,318,183,181,200,207
2870,Hunter,Great Lakes,Theft,Break and enter non-dwelling,277,201,168,136,169,160,211,176,74,110,116
